date,demand,is_holiday,is_promo
2006-01-29,177.94,0,0
2006-01-30,105.58,0,0
2006-01-31,126.02,0,0
2006-02-01,171.68,0,0
2006-02-02,168.68,0,0
2006-02-03,192.66,0,0
2006-02-04,211.73,0,0
2006-02-05,195.01,0,0
2006-02-06,144.24,0,0
2006-02-07,143.39,0,0
2006-02-08,164.41,0,0
2006-02-09,166.86,0,0
2006-02-10,222.61,0,0
2006-02-11,180.68,0,0
2006-02-12,214.26,0,0
2006-02-13,146.38,0,0
2006-02-14,226.13,1,0
2006-02-15,180.87,0,0
2006-02-16,141.33,0,0
2006-02-17,153.63,0,0
2006-02-18,181.82,0,0
2006-02-19,153.88,0,0
2006-02-20,166.97,0,0
2006-02-21,144.22,0,0
2006-02-22,153.71,0,0
2006-02-23,169.09,0,0
2006-02-24,137.53,0,0
2006-02-25,222.13,0,0
2006-02-26,178.87,0,0
2006-02-27,167.72,0,0
2006-02-28,166.68,0,0
2006-03-01,179.93,0,0
2006-03-02,162.7,0,0
2006-03-03,133.31,0,0
2006-03-04,203.97,0,0
2006-03-05,190.46,0,0
2006-03-06,140.98,0,0
2006-03-07,156.89,0,0
2006-03-08,152.24,0,0
2006-03-09,141.9,0,0
2006-03-10,191.59,0,0
2006-03-11,186.07,0,0
2006-03-12,183.64,0,0
2006-03-13,158.86,0,0
2006-03-14,188.76,0,0
2006-03-15,158.49,0,0
2006-03-16,174.46,0,0
2006-03-17,163.93,0,0
2006-03-18,220.12,0,0
2006-03-19,213.4,0,0
2006-03-20,173.42,0,0
2006-03-21,219.09,0,1
2006-03-22,173.72,0,0
2006-03-23,143.26,0,0
2006-03-24,165.98,0,0
2006-03-25,209.04,0,0
2006-03-26,176.17,0,0
2006-03-27,150.08,0,0
2006-03-28,129.5,0,0
2006-03-29,148.61,0,0
2006-03-30,176.69,0,0
2006-03-31,180.15,0,0
2006-04-01,201.6,0,0
2006-04-02,199.95,0,0
2006-04-03,167.27,0,0
2006-04-04,185.14,0,0
2006-04-05,172.56,0,0
2006-04-06,208.51,0,0
2006-04-07,200.51,0,0
2006-04-08,184.19,0,0
2006-04-09,203.06,0,0
2006-04-10,147.14,0,0
2006-04-11,178.94,0,0
2006-04-12,165.14,0,0
2006-04-13,189.02,0,0
2006-04-14,165.78,0,0
2006-04-15,226.54,0,0
2006-04-16,229.51,0,0
2006-04-17,195.9,0,0
2006-04-18,168.79,0,0
2006-04-19,182.63,0,0
2006-04-20,190.42,0,0
2006-04-21,238.25,0,0
2006-04-22,202.84,0,0
2006-04-23,188.26,0,0
2006-04-24,242.38,0,0
2006-04-25,182.02,0,0
2006-04-26,149.5,0,0
2006-04-27,179.55,0,0
2006-04-28,151.43,0,0
2006-04-29,249.13,0,0
